IDS,Site #,Vendor Name,Vendor Link,Site Name,Location,City,State,Zip,Latitude,Longitude
HAN,146,Met-Ed,https://outages-pa.firstenergycorp.com/,Hanover,2100 BALTIMORE PIKE,HANOVER,PA,17331-8451,39.75546,-76.9525452
JAX,147,JEA,https://www.jea.com/outage_center/outage_map/,Jacksonville,10101 INTERSTATE CENTER DR,JACKSONVILLE,FL,32218-8508,30.42182,-81.658268
,148,WE ENERGIES,https://www.we-energies.com/outagemapext/,Saukville WI,800 East Green Bay Avenue,SAUKVILLE,WISCONSIN,53080,43.383,-87.94
CMO,155,BOONE ELECTRIC COOPERATIVE,https://nis.booneelectric.com/dmsoutagemap/default.html,Columbia,8877 INTERSTATE 70 DR NE,COLUMBIA,MO,65202-6616,38.996,-92.235
KMO,157,EVERGY,https://outagemap.evergy.com/,Kansas City,3001 NE JEFFERSON RD,GRAIN VALLEY,MO,64029-8277,39.018,-94.172
LUB,158,Lubbock Power & Light,https://electricoutage.ci.lubbock.tx.us/gridvu/,Lubbock,1701 S LOOP 289,LUBBOCK,TX,79423-1611,33.578,-101.862
PAN,159,Florida Power & Light,https://www.fplmaps.com/,Panama City,4100 W 23RD ST,PANAMA CITY,FL,32405-1318,30.1903839,-85.71327
MEM,160,NORTH CENTRAL ELECTRIC COOPERATIVE,https://outages.northcentralelectric.com/outages,Olive Branch,8150 NEW CRAFT RD,OLIVE BRANCH,MS,38654-1037,34.9349,-89.7861
BOS,161,National Grid,https://outagemap.ma.nationalgridus.com/,Berkley,137 MYRICKS ST.,BERKLEY,MA,02779-1707,41.83859,-71.01268
CFI,162,CEDAR FALLS UTILITIES,https://www.cfu.net/utilities/electric-service/live-power-outage-map,Cedar Falls,7805 ACE PLACE,CEDAR FALLS,IA,50613-7424,42.5709,-92.5308
RAP,163,Black Hills Energy,https://www.blackhillsenergy.com/outages,Rapid City,10400 RECREATIONAL DR,SUMMERSET,SD,57718-8654,44.2048,-103.373
ROS,164,TOLEDO EDISON,https://outages-oh.firstenergycorp.com/,Rossford,28000 SPORTSMANS DR,ROSSFORD,OH,43460-7703,41.5345,-83.5657
JMS,166,ENTERGY,https://www.myentergy.com/s/outagemap,Jackson,4601 I-55 SOUTH FRONTAGE ROAD,JACKSON,MS,39212-5530,32.2486,-90.1843
DAV,167,EASTERN IOWA LIGHT & POWER COOPERATIVE,https://easterniowa.outagemap.coop/,Davenport,14040 110TH AVE.,DAVENPORT,IA,52804-9515,41.5661,-90.4707
IDA,169,CITY OF IDAHO FALLS,https://www.ifpower.org/outages/report-a-power-outage,Idaho Falls,1355 TARA ROAD,IDAHO FALLS,ID,83402-4506,43.4798,-112.0658
GKY,171,Kentucky Utilities,https://stormcenter.lge-ku.com/,Georgetown,151 WAHLAND HALL PATH,GEORGETOWN,KY,40324-8986,38.2133827,-84.53566
WMO,177,AMEREN MISSOURI,https://outagemap.ameren.com/external/default.html,Wentzville,2200 E PITMAN AVE,WENTZVILLE,MO,63385-3713,38.8164,-90.8225
RIC,182,RICHMOND POWER & LIGHT,https://ebilling.rp-l.com/maps/OutageWebMap/,Richmond,2250 WILLIAMSBURG PIKE,RICHMOND,IN,47374-1350,39.8285,-84.8506
,183,DUKE ENERGY,https://outagemap.duke-energy.com/,Marion NC,1885 US 70 West Marion,MARION,NORTH CAROLINA,28752,35.6787,-82.0282
CNC,184,CITY OF CONCORD,https://outagemap.concordnc.gov/,Concord,6700 BRUTON SMITH BLVD,CONCORD,NC,28027-0120,35.3521,-80.7112
BOC,187,SWEPCO,https://outagemap.swepco.com/,Bossier City,3625 INDUSTRIAL DRIVE AT I-20,BOSSIER CITY,LA,71112-2503,32.4568,-93.6694
TYL,188,Oncor,https://stormcenter.oncor.com/,Tyler,11271 US HIGHWAY 69 NORTH,TYLER,TX,75706-5834,32.42884,-95.36377
